Gene,Drug,Interaction Type,Directionality,Source,PMID,Interaction Score
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=BUTHIONINE%20SULFOXIMINE"" target=""_blank"">BUTHIONINE SULFOXIMINE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12615656/"" target=""_blank"">12615656</a>",0.1800130984789156
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=P2PAL18S"" target=""_blank"">P2PAL18S</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=THERAPEUTIC%20CORTICOSTEROID"" target=""_blank"">THERAPEUTIC CORTICOSTEROID</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/1903065/"" target=""_blank"">1903065</a>",0.04286026154259895
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=VITAMIN%20E"" target=""_blank"">VITAMIN E</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12076219/"" target=""_blank"">12076219</a>",0.1125081865493222
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AZ2429"" target=""_blank"">AZ2429</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=GB88"" target=""_blank"">GB88</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=IRBESARTAN"" target=""_blank"">IRBESARTAN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12827021/"" target=""_blank"">12827021</a>",0.2250163730986445
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SLIGKV-NH2"" target=""_blank"">SLIGKV-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=STAUROSPORINE"" target=""_blank"">STAUROSPORINE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/11948667/"" target=""_blank"">11948667</a>",0.06429039231389844
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TROGLITAZONE"" target=""_blank"">TROGLITAZONE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15057551/"" target=""_blank"">15057551</a>",0.06923580710727524
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AEM-28"" target=""_blank"">AEM-28</a>",N/A,N/A,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=TRANS-CINNAMOYL-LIGRLO%20%5BN-%5B3H%5DPROPIONYL%5D-NH2"" target=""_blank"">TRANS-CINNAMOYL-LIGRLO [N-[3H]PROPIONYL]-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ACE%20INHIBITOR"" target=""_blank"">ACE INHIBITOR</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12105166/"" target=""_blank"">12105166</a>",0.3857423538833907
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=I-191"" target=""_blank"">I-191</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AZ3451"" target=""_blank"">AZ3451</a>",modulator,,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=CN-105"" target=""_blank"">CN-105</a>",N/A,N/A,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RECOMBINANT%20CYTOKINE"" target=""_blank"">RECOMBINANT CYTOKINE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/10686578/"" target=""_blank"">10686578</a>",0.1038537106609128
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=2-FUROYL-LIGRL%5BN%5B3H%5DPROPIONYL%5D-O-NH2"" target=""_blank"">2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=FENOFIBRATE%20MICRONIZED"" target=""_blank"">FENOFIBRATE MICRONIZED</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12042669/"" target=""_blank"">12042669</a>",0.06923580710727524
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=DONEPEZIL"" target=""_blank"">DONEPEZIL</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/24951635/"" target=""_blank"">24951635</a>",0.3375245596479668
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AC-98170"" target=""_blank"">AC-98170</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=HUMAN%20CHORIONIC%20GONADOTROPIN"" target=""_blank"">HUMAN CHORIONIC GONADOTROPIN</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/1709885/"" target=""_blank"">1709885</a>",0.09474373604153453
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=GALANTAMINE"" target=""_blank"">GALANTAMINE</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/24951635/"" target=""_blank"">24951635</a>",0.2250163730986445
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=NICOTINE%20POLACRILEX"" target=""_blank"">NICOTINE POLACRILEX</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/23247396/"" target=""_blank"">23247396</a>",0.03913328227802513
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=I-287"" target=""_blank"">I-287</a>",modulator,,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ANTIDEPRESSANT%20AGENT"" target=""_blank"">ANTIDEPRESSANT AGENT</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/14512205/"" target=""_blank"">14512205</a>",0.03461790355363762
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ISOX-CHA-CHG-ALA-ARG-DPR%284FB%29-NH2"" target=""_blank"">ISOX-CHA-CHG-ALA-ARG-DPR(4FB)-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=GANCICLOVIR"" target=""_blank"">GANCICLOVIR</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/16322528/"" target=""_blank"">16322528</a>",0.2250163730986445
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=C391"" target=""_blank"">C391</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=IMMUNOSUPPRESSANT"" target=""_blank"">IMMUNOSUPPRESSANT</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12752312/"" target=""_blank"">12752312</a>",0.1000072769327309
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AZ8838"" target=""_blank"">AZ8838</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=2-FUROYL-LIGRL%5BN-%28ALEXA%20FLUOR%20594%29-O%5D-NH2"" target=""_blank"">2-FUROYL-LIGRL[N-(ALEXA FLUOR 594)-O]-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ISOX-CHA-CHG-ARK%28SULFO-CY5%29-NH2"" target=""_blank"">ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AY77"" target=""_blank"">AY77</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AC-55541"" target=""_blank"">AC-55541</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.450032746197289
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AC264613"" target=""_blank"">AC264613</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.450032746197289
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%5B3H%5D2-FUROYL-LIGRL-NH2"" target=""_blank"">[3H]2-FUROYL-LIGRL-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=2-FUROYL-LIGRLO-AMIDE"" target=""_blank"">2-FUROYL-LIGRLO-AMIDE</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=GB110"" target=""_blank"">GB110</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=BUPROPION%20HYDROCHLORIDE"" target=""_blank"">BUPROPION HYDROCHLORIDE</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/23247396/"" target=""_blank"">23247396</a>",0.1058900579287738
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RIVASTIGMINE"" target=""_blank"">RIVASTIGMINE</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/24951635/"" target=""_blank"">24951635</a>",0.2571615692555937
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=NORETHINDRONE%20ACETATE"" target=""_blank"">NORETHINDRONE ACETATE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12398019/"" target=""_blank"">12398019</a>",0.3000218307981927
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=PREDNISONE"" target=""_blank"">PREDNISONE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/3185288/"" target=""_blank"">3185288</a>",0.04000291077309236
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SLIGRL-NH2"" target=""_blank"">SLIGRL-NH2</a>",agonist,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9000654923945781
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=GINKGO%20BILOBA%20EXTRACT"" target=""_blank"">GINKGO BILOBA EXTRACT</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/12684092/"" target=""_blank"">12684092</a>",0.3600261969578312
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SOYBEAN%20SEED%20OIL"" target=""_blank"">SOYBEAN SEED OIL</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/3021887/"" target=""_blank"">3021887</a>",0.3600261969578312
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=BENZO%28A%29PYRENE-7%2C8-DIOL%209%2C10-EPOXIDE"" target=""_blank"">BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/14753754/"" target=""_blank"">14753754</a>",0.450032746197289
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=FLUVASTATIN"" target=""_blank"">FLUVASTATIN</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/30363031/"" target=""_blank"">30363031</a>",0.2700196477183734
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SOY%20PROTEIN%20ISOLATE"" target=""_blank"">SOY PROTEIN ISOLATE</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/1902348/"" target=""_blank"">1902348</a>",0.3000218307981927
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RITONAVIR"" target=""_blank"">RITONAVIR</a>",N/A,N/A,PharmGKB,"<a href=""https://pubmed.ncbi.nlm.nih.gov/17700364/"" target=""_blank"">17700364</a>",0.1000072769327309
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=APOE"" target=""_blank"">APOE</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=LORAZEPAM"" target=""_blank"">LORAZEPAM</a>",N/A,N/A,NCI,"<a href=""https://pubmed.ncbi.nlm.nih.gov/15699298/"" target=""_blank"">15699298</a>",0.07200523939156624
